Month,Elevation,SCA,CCA
1.0,0.0,0.18990141658155335,41.53655971277763
1.0,100.0,1.228550569028022,23.29250463127628
1.0,200.0,0.9020244762488501,14.427904472406329
1.0,300.0,0.7852673269226419,24.432761690743156
1.0,400.0,1.5886505659205579,26.125823786448205
1.0,500.0,2.047262361143699,26.639001137811015
1.0,600.0,2.6447104538489423,29.39811015876911
1.0,700.0,3.187799941721315,32.05946963112001
1.0,800.0,3.483548492178273,35.45291067190795
1.0,900.0,3.658961037721366,38.27453056097006
1.0,1000.0,4.231041273501345,40.9249906291162
1.0,1100.0,6.052762804820048,43.321735473078974
1.0,1200.0,9.963474349367825,46.40281679304523
1.0,1300.0,17.519257199112573,49.195383442081955
1.0,1400.0,29.405796164320634,51.60493425762721
1.0,1500.0,40.85140842861932,52.79692834337434
1.0,1600.0,47.04380009057151,52.62786932766718
1.0,1700.0,51.67522722603911,52.51886583311218
1.0,1800.0,57.04915184508715,54.66855151105982
1.0,1900.0,59.20441910491435,54.858678781354
1.0,2000.0,68.74500949359197,61.31714982061485
1.0,2100.0,80.36302964550853,67.11352723094645
1.0,2200.0,90.72897588112517,73.85988038363483
1.0,2300.0,93.86843183803386,71.45098754917856
1.0,2400.0,97.74847160808851,80.80032812264793
1.0,2500.0,93.62635315619288,82.78771741260456
1.0,2600.0,89.7608505016684,87.54281794223384
1.0,2700.0,94.87358651000486,89.81188257773816
1.0,2800.0,88.12782643095946,91.32397213811178
1.0,2900.0,88.43722258932205,92.58105037062023
1.0,3000.0,98.6128638799272,91.76160962490336
1.0,3100.0,98.82751006904486,94.97138071197894
1.0,3200.0,98.37489213122154,93.05777398241472
1.0,3300.0,99.3908414058122,92.12403252922748
1.0,3400.0,100.0,96.17690188011532
1.0,3500.0,100.0,98.70967741935485
2.0,0.0,0.1468690143138387,38.62869044041751
2.0,100.0,1.2386492112319478,22.672034858576836
2.0,200.0,0.7562814035294655,14.6006090820985
2.0,300.0,0.7188596807225797,23.332160590746206
2.0,400.0,1.5271034620233732,24.79739117332314
2.0,500.0,2.044409636543987,25.45102401130628
2.0,600.0,2.6358831279533494,27.82230230093837
2.0,700.0,3.1327101994713784,29.967214160183005
2.0,800.0,3.366791305357687,32.62759993554374
2.0,900.0,3.4361386653649433,34.78710083250964
2.0,1000.0,3.795153967574049,36.77175539628751
2.0,1100.0,5.399058528683424,38.44556626896544
2.0,1200.0,8.535942071349007,40.58285534538689
2.0,1300.0,15.12105484967478,42.572554700008595
2.0,1400.0,25.647069609287918,44.10820185564779
2.0,1500.0,35.71311851054773,45.01999142994138
2.0,1600.0,41.10910322789807,45.51425692736814
2.0,1700.0,44.895164433751965,45.942035505255326
2.0,1800.0,50.19539212187116,48.39728051259339
2.0,1900.0,54.19436762899619,49.29886158360237
2.0,2000.0,64.55301519589187,55.03641029334234
2.0,2100.0,78.36418881693083,59.59556938661524
2.0,2200.0,89.56215672743522,65.39942861146687
2.0,2300.0,87.6872225107768,62.442844966714574
2.0,2400.0,90.36970830347627,73.76407557302345
2.0,2500.0,88.50915669604208,76.64525145506437
2.0,2600.0,87.78705380360711,81.43351768699975
2.0,2700.0,89.63242358319714,84.76959972150141
2.0,2800.0,95.47922694446815,86.5513264537286
2.0,2900.0,94.83466490458743,87.9414319574218
2.0,3000.0,96.66442740557629,86.85001926772948
2.0,3100.0,97.38986622554658,90.92060798529769
2.0,3200.0,98.97709862857295,90.59659943862502
2.0,3300.0,98.75366263709871,91.0381974375424
2.0,3400.0,100.0,95.13411303357007
2.0,3500.0,100.0,97.98119925413533
3.0,0.0,0.8958556478233195,43.68673824669153
3.0,100.0,2.190521764447955,26.480237694388116
3.0,200.0,1.254008061617173,18.572913200546974
3.0,300.0,1.596678126592997,28.154961908040654
3.0,400.0,2.717946086870692,29.634868916303788
3.0,500.0,3.109262316731284,30.536011144142343
3.0,600.0,3.8088919019813363,33.14941680518579
3.0,700.0,4.409365893312803,35.459261830966376
3.0,800.0,4.924273324011522,38.52607864605625
3.0,900.0,5.230130508344604,40.86472891123342
3.0,1000.0,5.998280512641582,43.03561990886208
3.0,1100.0,7.966531181435887,44.87206329949151
3.0,1200.0,11.698483938268549,47.276015741008
3.0,1300.0,18.440337501765462,49.02827988394076
3.0,1400.0,28.0939088158669,50.08837194318142
3.0,1500.0,37.13730941122549,50.677251719206104
3.0,1600.0,41.96170986432755,51.4724149385206
3.0,1700.0,45.8890809919644,51.91681179178105
3.0,1800.0,53.639835916198,53.961162930267676
3.0,1900.0,57.040218796224345,54.47720606912977
3.0,2000.0,68.88062309626645,58.38746774444483
3.0,2100.0,80.87657547238535,61.231821355481394
3.0,2200.0,91.73413946411299,66.30523669168477
3.0,2300.0,91.83833217422439,63.11443958750996
3.0,2400.0,95.92502228358705,75.0140266378884
3.0,2500.0,95.41063989581716,77.02690560761913
3.0,2600.0,94.74335759108041,79.70550421718605
3.0,2700.0,91.99707363399443,83.8858793841761
3.0,2800.0,99.15934283298556,84.168839355612
3.0,2900.0,98.16183096053344,84.56721027829882
3.0,3000.0,97.11794062466541,85.3628824228016
3.0,3100.0,99.07256185270424,89.63090720713011
3.0,3200.0,96.62320937827754,90.50181064863447
3.0,3300.0,97.84474154724735,94.66007605867647
3.0,3400.0,92.89347981848576,97.20258571137582
3.0,3500.0,88.0,98.07408667582715
4.0,0.0,4.371982400047368,47.01413264683208
4.0,100.0,4.486634433329631,29.775856299091572
4.0,200.0,2.716221716447804,22.139863606598603
4.0,300.0,4.309982156741113,31.812751315315168
4.0,400.0,6.25262740675851,33.80167010395141
