Month,SCA
1.0,0.00
2.0,0.00
3.0,0.01
4.0,0.17
5.0,0.15
6.0,0.07
7.0,0.80
8.0,0.22
9.0,0.04
10.0,-0.04
11.0,-0.01
12.0,-0.00
