Month,Mean,P25,P75
1.0,0.26,0.13,0.46
2.0,0.10,0.06,0.17
3.0,0.08,0.05,0.13
4.0,0.13,0.04,0.46
5.0,0.78,0.23,2.16
6.0,1.96,0.81,4.31
7.0,2.79,1.45,5.32
8.0,1.66,0.80,3.29
9.0,1.22,0.65,2.22
10.0,0.51,0.23,1.04
11.0,0.40,0.18,0.81
12.0,0.44,0.20,0.83
