Month,Mean,P25,P75
1.0,0.22,0.11,0.49
2.0,0.17,0.08,0.41
3.0,0.13,0.07,0.46
4.0,0.38,0.11,2.97
5.0,2.73,0.56,7.23
6.0,14.29,6.91,22.20
7.0,18.29,10.11,27.50
8.0,16.26,7.89,25.39
9.0,11.62,4.28,20.27
10.0,6.28,1.77,11.67
11.0,1.50,0.30,4.01
12.0,0.20,0.10,0.49
