Elevation,Area
100,79.21
200,154.98
300,245.78
400,277.55
500,321.99
600,370.50
700,396.90
800,412.79
900,422.66
1000,376.94
1100,334.01
1200,273.69
1300,221.53
1400,193.62
1500,178.60
1600,179.88
1700,171.51
1800,158.42
1900,151.33
2000,141.24
2100,129.44
2200,121.28
2300,112.70
2400,101.96
2500,100.89
2600,101.53
2700,101.53
2800,100.46
2900,105.83
3000,113.34
3100,122.78
3200,134.38
3300,175.81
3400,198.13
3500,200.49
3600,182.46
3700,150.05
3800,96.81
3900,68.26
4000,42.50
4100,25.54
4200,16.96
4300,9.44
4400,7.94
4500,4.08
4600,2.15
4700,1.07
4800,0.21
