Month,Mean,P25,P75
1.0,4.03,2.56,6.04
2.0,4.62,2.98,6.65
3.0,4.87,3.20,7.25
4.0,7.65,4.89,11.37
5.0,13.72,8.76,19.68
6.0,22.31,14.04,31.72
7.0,24.97,16.43,35.28
8.0,16.83,10.72,24.64
9.0,13.83,6.66,21.82
10.0,10.65,5.96,15.75
11.0,5.53,3.03,8.61
12.0,3.54,1.92,5.80
