Month,Mean,P25,P75
1.0,0.04,0.00,0.23
2.0,0.06,0.01,0.32
3.0,0.32,0.06,1.36
4.0,3.07,0.99,5.96
5.0,11.20,6.42,17.12
6.0,13.43,8.36,19.60
7.0,13.47,8.31,19.60
8.0,7.46,4.18,11.88
9.0,3.06,1.29,5.81
10.0,0.75,0.21,1.92
11.0,0.14,0.01,0.62
12.0,0.05,0.00,0.27
