Month,SCA
1.0,-0.02
2.0,-0.01
3.0,0.01
4.0,0.13
5.0,0.04
6.0,0.05
7.0,0.37
8.0,0.33
9.0,0.02
10.0,-0.01
11.0,-0.02
12.0,-0.02
