Elevation,Area
100,103.68
200,141.03
300,171.73
400,215.09
500,218.95
600,221.74
700,200.06
800,200.28
900,218.74
1000,211.23
1100,170.01
1200,131.59
1300,128.15
1400,114.63
1500,120.64
1600,131.37
1700,132.87
1800,137.17
1900,139.31
2000,144.68
2100,160.14
2200,164.64
2300,165.93
2400,172.16
2500,174.95
2600,180.10
2700,188.69
2800,185.89
2900,199.85
3000,199.63
3100,218.09
3200,227.75
3300,246.64
3400,270.90
3500,268.32
3600,307.18
3700,329.72
3800,361.91
3900,375.01
4000,372.00
4100,341.31
4200,280.56
4300,244.71
4400,189.54
4500,151.76
4600,123.64
4700,98.53
4800,75.13
4900,64.40
5000,51.52
5100,38.21
5200,25.33
5300,13.95
5400,6.87
5500,3.01
5600,2.15
5700,1.72
5800,0.86
5900,0.43
6000,0.43
