Month,Mean,P25,P75
1.0,0.49,0.36,0.63
2.0,0.34,0.23,0.45
3.0,0.26,0.18,0.37
4.0,0.23,0.13,0.45
5.0,0.51,0.16,1.55
6.0,1.42,0.47,3.65
7.0,2.24,1.05,4.79
8.0,1.21,0.58,2.80
9.0,0.91,0.45,1.75
10.0,0.40,0.20,0.79
11.0,0.35,0.17,0.66
12.0,0.57,0.34,0.84
