Month,SCA
1.0,0.00
2.0,0.00
3.0,0.00
4.0,0.00
5.0,-0.12
6.0,-0.01
7.0,-0.16
8.0,-0.76
9.0,-1.13
10.0,-0.74
11.0,-0.10
12.0,0.00
