Month,SCA
1.0,0.04
2.0,0.07
3.0,0.01
4.0,0.03
5.0,5.78
6.0,1.58
7.0,2.45
8.0,0.27
9.0,0.24
10.0,0.10
11.0,0.02
12.0,0.04
