Month,SCA
1.0,-0.14
2.0,-0.17
3.0,-0.19
4.0,-0.11
5.0,4.24
6.0,1.79
7.0,0.99
8.0,0.17
9.0,0.03
10.0,-0.10
11.0,0.01
12.0,-0.01
