Month,SCA
1.0,-0.47
2.0,-0.20
3.0,-0.30
4.0,-0.06
5.0,1.30
6.0,0.43
7.0,0.41
8.0,0.22
9.0,0.21
10.0,-0.09
11.0,-0.41
12.0,-0.29
