Month,Mean,P25,P75
1.0,0.01,0.00,0.04
2.0,0.00,0.00,0.04
3.0,0.05,0.00,0.54
4.0,1.27,0.26,2.87
5.0,6.35,3.22,10.87
6.0,13.59,8.06,20.56
7.0,14.90,8.72,23.83
8.0,5.72,2.98,10.77
9.0,1.38,0.50,2.89
10.0,0.30,0.07,0.90
11.0,0.04,0.01,0.19
12.0,0.01,0.00,0.05
