Elevation,Area
100,2312.09
200,1873.54
300,1322.72
400,894.05
500,551.46
600,393.04
700,315.76
800,277.98
900,287.00
1000,277.98
1100,249.43
1200,231.19
1300,225.39
1400,217.23
1500,215.52
1600,220.67
1700,210.79
1800,181.82
1900,183.10
2000,176.02
2100,166.36
2200,178.60
2300,170.87
2400,189.33
2500,183.53
2600,181.82
2700,174.95
2800,190.62
2900,184.61
3000,190.62
3100,186.97
3200,169.80
3300,164.00
3400,148.11
3500,121.28
3600,108.40
3700,86.94
3800,66.54
3900,58.82
4000,47.22
4100,33.70
4200,22.97
4300,14.60
4400,8.59
4500,6.01
4600,3.22
4700,2.58
4800,2.15
4900,0.86
5000,0.86
