Month,Mean,P25,P75
1.0,1.07,0.52,1.81
2.0,0.88,0.41,1.53
3.0,0.67,0.35,1.31
4.0,2.02,0.63,4.59
5.0,7.21,3.33,12.46
6.0,12.58,7.17,19.50
7.0,15.82,9.59,23.72
8.0,11.29,6.19,17.65
9.0,7.85,3.14,14.39
10.0,5.16,2.24,9.04
11.0,0.97,0.34,2.15
12.0,0.78,0.27,1.75
