Month,Mean,P25,P75
1.0,0.98,0.32,3.31
2.0,0.39,0.19,1.14
3.0,0.37,0.18,1.01
4.0,1.84,0.44,4.24
5.0,7.93,3.71,13.33
6.0,15.85,11.45,21.29
7.0,21.44,15.73,27.08
8.0,20.70,16.28,25.59
9.0,22.23,16.91,25.91
10.0,18.61,15.37,21.59
11.0,14.22,10.45,18.01
12.0,5.98,2.88,12.68
