Month,Mean,P25,P75
1.0,0.65,0.32,1.18
2.0,0.73,0.35,1.37
3.0,0.90,0.51,1.57
4.0,0.71,0.46,1.14
5.0,0.57,0.36,0.92
6.0,0.49,0.30,0.79
7.0,0.50,0.28,1.77
8.0,0.38,0.24,0.63
9.0,0.27,0.16,0.49
10.0,0.17,0.10,0.31
11.0,0.11,0.07,0.25
12.0,0.19,0.08,0.44
