Month,SCA
1.0,-0.02
2.0,-0.04
3.0,-0.04
4.0,-0.01
5.0,0.14
6.0,0.28
7.0,0.47
8.0,0.02
9.0,-0.01
10.0,0.00
11.0,-0.00
12.0,-0.00
