Month,SCA
1.0,-0.08
2.0,-0.02
3.0,-0.05
4.0,0.08
5.0,1.50
6.0,0.68
7.0,1.44
8.0,0.55
9.0,0.10
10.0,0.01
11.0,-0.07
12.0,-0.04
