Month,SCA
1.0,-0.06
2.0,-0.04
3.0,-0.05
4.0,-0.03
5.0,0.19
6.0,0.26
7.0,0.10
8.0,0.02
9.0,-0.03
10.0,-0.01
11.0,-0.13
12.0,-0.16
