Month,Mean,P25,P75
1.0,4.23,2.74,6.27
2.0,4.81,3.21,6.83
3.0,4.97,3.25,7.52
4.0,8.06,5.05,12.21
5.0,14.16,8.86,20.73
6.0,22.73,14.64,31.99
7.0,25.41,16.73,35.98
8.0,17.10,10.94,25.01
9.0,13.93,6.97,21.89
10.0,10.95,6.15,16.14
11.0,5.59,3.14,8.66
12.0,3.62,1.95,5.97
