Month,Mean,P25,P75
1.0,0.92,0.31,3.27
2.0,0.38,0.19,1.10
3.0,0.34,0.17,0.97
4.0,1.66,0.43,4.01
5.0,7.49,3.70,12.23
6.0,15.83,11.40,21.27
7.0,21.41,15.72,26.84
8.0,20.56,16.01,25.48
9.0,22.15,16.57,25.87
10.0,18.37,15.17,21.44
11.0,14.09,10.41,17.96
12.0,5.87,2.86,12.68
