Elevation,SCA,CCA
0.0,2.974961075811383,2.974961075811383
100.0,5.7783934392599665,5.7783934392599665
200.0,8.0645144049132,8.0645144049132
300.0,9.244102943920847,9.244102943920847
400.0,10.585872376392938,10.585872376392938
500.0,11.735467268998065,11.735467268998065
600.0,12.699128202901504,12.699128202901504
700.0,14.456248104847916,14.456248104847916
800.0,16.973496993194516,16.973496993194516
900.0,20.753206125847086,20.753206125847086
1000.0,27.376269228111624,27.376269228111624
1100.0,34.18415703181328,34.18415703181328
1200.0,39.74032430053465,39.74032430053465
1300.0,45.174713386208,45.174713386208
1400.0,51.68459062971005,51.68459062971005
1500.0,58.505107093441914,58.505107093441914
1600.0,65.26772963463762,65.26772963463762
1700.0,69.29977822048262,69.29977822048262
1800.0,66.85788346028163,66.85788346028163
1900.0,71.47414197085075,71.47414197085075
2000.0,71.84761385169165,71.84761385169165
2100.0,52.20070355935175,52.20070355935175
2200.0,35.21652123451447,35.21652123451447
2300.0,29.28516057585823,29.28516057585823
2400.0,24.620313241575705,24.620313241575705
