Month,Mean,P25,P75
1.0,2.03,1.19,3.34
2.0,3.12,1.77,4.80
3.0,3.53,2.01,5.89
4.0,6.93,3.92,10.99
5.0,15.21,9.76,21.95
6.0,22.89,15.60,31.51
7.0,24.08,16.37,33.39
8.0,16.08,10.42,22.58
9.0,9.24,5.56,13.74
10.0,4.40,2.59,6.99
11.0,2.40,1.41,3.93
12.0,1.91,1.16,3.15
