Month,Elevation,SCA,CCA
1.0,0,0.0,7.898133465418823
1.0,100,0.0,4.159542066144459
1.0,200,0.0,3.0734307998022743
1.0,300,0.0,2.4514424810244
1.0,400,0.0,1.5260344893818079
1.0,500,0.0,1.1497149403895195
1.0,600,0.0,0.9228028120301933
1.0,700,0.0,0.7491672619240414
1.0,800,0.0,0.6271089998936606
1.0,900,0.0,0.5379776994233966
1.0,1000,0.0,0.5242897576598972
1.0,1100,0.0,0.5363492017472414
11.0,100,0.0,5.02479980203573
1.0,1200,3.466635456648581E-4,0.5848905309238848
11.0,200,3.466635456648581E-4,3.8964915722587805
1.0,1300,0.007202499150017962,0.6119029820930529
11.0,300,0.007202499150017962,2.9015212201708103
1.0,1400,0.0020324882693120725,0.6322240116463249
11.0,400,0.0020324882693120725,2.4492702814261027
1.0,1500,4.668634938745679E-5,0.6472397187592882
11.0,500,4.668634938745679E-5,2.263996179792916
1.0,1600,0.0,0.6741550167125854
11.0,600,0.0,2.0639057279635584
1.0,1700,0.0,0.6842593565098534
11.0,700,0.0,1.8572395223287934
1.0,1800,0.0,0.6640293545865982
11.0,800,0.0,1.6744843081441798
1.0,1900,0.0,0.6791614507165048
11.0,900,0.0,1.5806301009858634
1.0,2000,0.0,0.6751829416257551
1.0,2100,0.0017323120617779584,0.6662624914234876
12.0,100,0.0017323120617779584,5.885147052459776
1.0,2200,0.007530797928237566,0.6531725359989774
12.0,200,0.007530797928237566,3.8791340886035437
1.0,2300,0.010194215726484086,0.6484528515791409
12.0,300,0.010194215726484086,2.5172444519760244
1.0,2400,0.023645491374609588,0.665492258904319
12.0,400,0.023645491374609588,1.3717046738076595
1.0,2500,0.029240103292625427,0.6702306552382623
12.0,500,0.029240103292625427,0.891392754748084
1.0,2600,0.039077017481185965,0.6803635334166874
12.0,600,0.039077017481185965,0.6161297476460442
1.0,2700,0.05264826254413285,0.6845245964831554
12.0,700,0.05264826254413285,0.3828512320353445
1.0,2800,0.06786124621711495,0.6995989709574861
12.0,800,0.06786124621711495,0.2608735429402194
1.0,2900,0.08092928815277395,0.7155514367832645
12.0,900,0.08092928815277395,0.1995072460505641
1.0,3000,0.09477077054614975,0.7017797911891345
1.0,3100,0.11591540405061353,0.7221734908015107
1.0,3200,0.16592075858791763,0.7592035174884778
1.0,3300,0.2411274489559275,0.7978287169656687
1.0,3400,0.31423785118801933,0.8579843174294134
1.0,3500,0.435759196991599,0.8959044562309553
1.0,3600,0.5794966535518806,0.932489045578904
1.0,3700,0.7378878065458849,0.9808746657939288
1.0,3800,0.9535015025953922,1.0523182560978592
1.0,3900,1.1859684336086511,1.1293436572795237
1.0,4000,1.456702808635976,1.2644957048685757
1.0,4100,1.8394518984433492,1.4932014519078214
1.0,4200,2.1037444657048288,1.6881074086977503
1.0,4300,2.3603065974745028,1.910423567763973
1.0,4400,2.8238758945029367,2.127891986270712
1.0,4500,3.5524132822103365,2.327995117329597
1.0,4600,5.143746658699958,2.651666420384043
1.0,4700,6.2447068294646435,2.7167646041838234
1.0,4800,6.146536039188244,2.6204162496770684
1.0,4900,5.826249999999999,2.6095990143369177
1.0,5000,4.0,2.500210483269587
2.0,0,0.0,8.415130489593855
2.0,100,0.0,3.995255936963204
2.0,200,0.0,2.329676262050519
2.0,300,0.0,1.57995625441286
2.0,400,0.0,0.7011542324065999
2.0,500,0.0,0.3833827560371623
2.0,600,0.0,0.23019787548481846
2.0,700,0.0,0.11439809991415538
2.0,800,0.0,0.050192745758598646
2.0,900,0.0,0.021164305516816653
2.0,1000,0.0,0.012352711163117246
2.0,1100,0.0,0.008723386658899714
2.0,1200,0.0,0.0072889387069013266
2.0,1300,0.008658323446298188,0.0069562130848577555
2.0,1400,0.0025081770131936214,0.007518353263686267
