Month,SCA
1.0,-0.00
2.0,-0.00
3.0,-0.00
4.0,-0.00
5.0,-0.74
6.0,0.01
7.0,-0.60
8.0,-0.78
9.0,-1.79
10.0,-1.33
11.0,-0.35
12.0,-0.00
