Month,SCA
1.0,0.00
2.0,0.00
3.0,0.01
4.0,0.09
5.0,0.39
6.0,-0.21
7.0,1.09
8.0,0.09
9.0,0.35
10.0,0.02
11.0,-0.00
12.0,0.00
