Month,SCA
1.0,0.00
2.0,0.01
3.0,0.02
4.0,0.01
5.0,0.16
6.0,-0.28
7.0,0.19
8.0,0.04
9.0,0.14
10.0,-0.00
11.0,-0.00
12.0,0.00
