Month,Mean,P25,P75
1.0,0.44,0.20,0.81
2.0,0.77,0.36,1.26
3.0,0.79,0.42,1.30
4.0,1.34,0.56,2.93
5.0,5.23,2.38,9.20
6.0,8.12,4.18,13.28
7.0,9.61,5.62,14.77
8.0,6.01,2.80,10.57
9.0,2.98,1.05,6.61
10.0,1.35,0.42,3.15
11.0,0.13,0.02,0.54
12.0,0.08,0.01,0.26
