Month,Mean,P25,P75
1.0,0.04,0.01,0.26
2.0,0.08,0.02,0.35
3.0,0.30,0.06,1.27
4.0,2.04,0.50,4.32
5.0,7.17,3.95,11.41
6.0,11.50,6.90,17.13
7.0,12.03,7.41,17.76
8.0,5.70,2.97,9.51
9.0,1.68,0.53,3.63
10.0,0.33,0.05,1.21
11.0,0.07,0.01,0.41
12.0,0.04,0.01,0.23
