Month,Mean,P25,P75
1.0,0.39,0.10,1.25
2.0,1.08,0.28,3.17
3.0,0.53,0.19,1.91
4.0,0.72,0.18,3.57
5.0,4.17,0.58,13.83
6.0,10.32,2.55,27.26
7.0,10.42,2.14,26.34
8.0,5.87,1.60,20.04
9.0,3.88,1.51,12.04
10.0,1.03,0.33,4.03
11.0,0.20,0.11,1.03
12.0,0.13,0.07,0.25
