Elevation,Area
100,225.39
200,118.71
300,147.26
400,153.70
500,201.56
600,227.11
700,226.68
800,253.30
900,272.40
1000,305.89
1100,341.95
1200,367.50
1300,310.18
1400,219.38
1500,186.97
1600,176.88
1700,166.57
1800,137.38
1900,151.98
2000,126.22
2100,127.08
2200,126.00
2300,139.53
2400,147.04
2500,136.31
2600,157.77
2700,158.42
2800,170.65
2900,195.34
3000,202.21
3100,219.81
3200,217.66
3300,218.52
3400,217.66
3500,231.83
3600,248.79
3700,275.41
3800,327.14
3900,326.28
4000,308.68
4100,275.19
4200,242.35
4300,200.28
4400,158.20
4500,110.33
4600,89.30
4700,77.71
4800,52.81
4900,36.06
5000,29.62
5100,18.68
5200,11.81
5300,7.51
5400,5.37
5500,4.72
5600,3.01
5700,2.58
5800,2.79
5900,2.15
6000,0.43
