Month,Mean,P25,P75
1.0,0.03,0.00,0.34
2.0,0.05,0.00,0.54
3.0,0.43,0.02,1.48
4.0,1.78,0.52,3.93
5.0,6.74,3.68,10.81
6.0,12.86,8.44,18.24
7.0,12.16,7.68,17.87
8.0,6.07,3.32,9.77
9.0,1.90,0.67,4.02
10.0,0.42,0.07,1.44
11.0,0.06,0.00,0.54
12.0,0.01,0.00,0.21
