Month,Mean,P25,P75
1.0,4.02,1.71,7.89
2.0,7.70,4.03,12.02
3.0,7.29,4.37,11.55
4.0,11.98,8.13,16.94
5.0,23.21,17.02,30.25
6.0,29.94,22.22,37.97
7.0,31.26,22.76,39.56
8.0,22.86,17.20,29.14
9.0,14.39,9.26,20.99
10.0,8.76,5.80,12.90
11.0,5.51,3.42,8.26
12.0,3.84,1.86,7.28
