Month,Mean,P25,P75
1.0,1.55,0.79,2.61
2.0,1.23,0.62,2.03
3.0,0.88,0.46,1.70
4.0,2.38,0.78,5.30
5.0,7.77,3.65,13.21
6.0,13.16,7.53,19.99
7.0,17.64,11.42,26.12
8.0,13.78,8.17,20.74
9.0,10.21,5.00,16.80
10.0,6.97,3.66,11.12
11.0,1.66,0.68,3.31
12.0,1.37,0.57,2.80
