Month,SCA
1.0,-0.00
2.0,0.01
3.0,-0.02
4.0,0.06
5.0,2.37
6.0,1.63
7.0,1.98
8.0,0.37
9.0,0.12
10.0,0.18
11.0,-0.02
12.0,0.01
