Month,Mean,P25,P75
1.0,0.26,0.13,0.45
2.0,0.10,0.06,0.16
3.0,0.07,0.04,0.13
4.0,0.12,0.04,0.39
5.0,0.70,0.23,1.80
6.0,1.90,0.78,4.20
7.0,2.73,1.42,5.18
8.0,1.60,0.78,3.14
9.0,1.21,0.63,2.18
10.0,0.49,0.22,1.00
11.0,0.38,0.16,0.79
12.0,0.44,0.20,0.81
