Month,Mean,P25,P75
1.0,4.18,1.84,8.05
2.0,8.04,4.61,12.18
3.0,7.51,4.60,11.74
4.0,12.47,8.23,17.98
5.0,23.28,17.05,30.49
6.0,30.28,22.73,38.21
7.0,31.51,23.32,39.67
8.0,23.11,17.34,29.47
9.0,14.54,9.52,21.07
10.0,8.83,5.92,12.94
11.0,5.58,3.50,8.34
12.0,3.85,1.86,7.40
