Month,Mean,P25,P75
1.0,1.08,0.79,1.40
2.0,0.60,0.38,0.85
3.0,0.45,0.29,0.66
4.0,0.49,0.24,1.06
5.0,1.18,0.45,2.67
6.0,3.13,1.41,6.38
7.0,6.81,3.81,10.75
8.0,5.29,2.83,8.82
9.0,4.71,2.62,7.27
10.0,2.66,1.55,4.15
11.0,1.50,0.82,2.42
12.0,1.66,1.11,2.24
