Month,Mean,P25,P75
1.0,1.14,0.60,2.17
2.0,1.14,0.55,2.40
3.0,0.87,0.45,2.21
4.0,1.39,0.46,5.35
5.0,8.75,1.84,23.30
6.0,20.93,8.49,40.20
7.0,16.94,4.56,43.92
8.0,13.82,2.70,38.61
9.0,7.19,1.50,18.76
10.0,2.20,0.75,5.95
11.0,0.84,0.46,1.90
12.0,0.54,0.34,0.96
