Month,SCA
1.0,-0.10
2.0,-0.03
3.0,-0.13
4.0,-0.18
5.0,2.07
6.0,0.86
7.0,0.98
8.0,0.10
9.0,0.10
10.0,0.14
11.0,-0.19
12.0,-0.02
