Elevation,Area
100,1110.64
200,690.77
300,767.19
400,1200.16
500,1166.67
600,869.15
700,627.66
800,427.39
900,344.74
1000,292.15
1100,268.97
1200,263.60
1300,238.70
1400,223.89
1500,220.45
1600,210.80
1700,212.51
1800,215.52
1900,204.57
2000,204.36
2100,208.22
2200,208.86
2300,225.82
2400,228.61
2500,232.90
2600,233.55
2700,233.55
2800,235.48
2900,256.30
3000,261.67
3100,279.27
3200,274.76
3300,300.52
3400,285.28
3500,264.67
3600,238.49
3700,215.73
3800,201.14
3900,174.30
4000,139.53
4100,114.20
4200,112.91
4300,80.93
4400,75.13
4500,65.90
4600,53.02
4700,44.43
4800,36.71
4900,27.26
5000,22.75
5100,20.61
5200,17.39
5300,14.17
5400,10.73
5500,10.52
5600,6.65
5700,3.65
5800,3.01
5900,1.07
6000,0.43
6100,0.43
6200,0.21
6300,0.43
6400,0.21
6500,0.21
