Elevation,SCA,CCA
0.0,5.430862207279275,5.430862207279275
100.0,8.814927971170214,8.814927971170214
200.0,12.1289243270302,12.1289243270302
300.0,14.439354234531983,14.439354234531983
400.0,18.20622310748563,18.20622310748563
500.0,21.677337654863788,21.677337654863788
600.0,28.000044705396167,28.000044705396167
700.0,34.15443231537105,34.15443231537105
800.0,43.37171896255022,43.37171896255022
900.0,48.433637464119464,48.433637464119464
1000.0,54.44643947114078,54.44643947114078
1100.0,61.14556034457088,61.14556034457088
1200.0,65.72800658898043,65.72800658898043
1300.0,68.23398761599496,68.23398761599496
1400.0,74.02188428660986,74.02188428660986
1500.0,82.61510813396843,82.61510813396843
1600.0,83.43522896511362,83.43522896511362
1700.0,84.25708415917101,84.25708415917101
1800.0,83.93616386352792,83.93616386352792
1900.0,83.62354679301988,83.62354679301988
2000.0,78.15268197764635,78.15268197764635
2100.0,73.45661951909085,73.45661951909085
2200.0,72.55800263841937,72.55800263841937
2300.0,69.32890932302685,69.32890932302685
2400.0,69.35268813619696,69.35268813619696
2500.0,72.7041139496351,72.7041139496351
2600.0,70.53883894656192,70.53883894656192
2700.0,71.76319832960624,71.76319832960624
2800.0,70.26458949671752,70.26458949671752
2900.0,69.61794316561814,69.61794316561814
3000.0,67.67166926423225,67.67166926423225
3100.0,66.85644522473788,66.85644522473788
3200.0,71.23011340597675,71.23011340597675
3300.0,76.03582825368491,76.03582825368491
3400.0,76.03232451252138,76.03232451252138
3500.0,72.55821229038891,72.55821229038891
3600.0,75.35631229235904,75.35631229235904
3700.0,78.00353177097372,78.00353177097372
3800.0,81.70321151716499,81.70321151716499
