Month,SCA
1.0,0.00
2.0,-0.01
3.0,-0.01
4.0,-0.01
5.0,-1.56
6.0,0.01
7.0,-1.33
8.0,-0.07
9.0,-0.44
10.0,-0.00
11.0,-0.01
12.0,-0.02
