Month,Mean,P25,P75
1.0,7.24,4.72,10.52
2.0,10.64,6.84,14.77
3.0,9.68,6.30,14.15
4.0,13.83,9.36,19.31
5.0,21.07,14.27,28.96
6.0,29.62,20.64,39.04
7.0,31.19,21.90,41.41
8.0,23.49,16.09,31.67
9.0,18.02,10.45,27.08
10.0,13.19,7.61,19.42
11.0,8.53,5.04,12.55
12.0,5.66,3.43,8.78
