Elevation,Area
100,338.30
200,443.48
300,442.63
400,382.52
500,421.59
600,493.93
700,589.88
800,710.73
900,568.42
1000,403.77
1100,372.00
1200,332.08
1300,316.19
1400,309.97
1500,299.66
1600,273.48
1700,250.72
1800,220.67
1900,186.75
2000,177.31
2100,182.03
2200,186.11
2300,186.32
2400,171.94
2500,174.09
2600,171.94
2700,169.37
2800,163.57
2900,176.02
3000,178.60
3100,180.31
3200,200.28
3300,219.60
3400,237.63
3500,256.09
3600,238.49
3700,208.65
3800,169.37
3900,127.29
4000,92.30
4100,59.46
4200,40.36
4300,25.76
4400,16.31
4500,10.52
4600,5.80
4700,4.08
4800,2.58
4900,2.36
5000,2.15
5100,1.07
5200,1.29
5300,0.64
5400,0.43
