Month,Mean,P25,P75
1.0,3.86,2.13,6.56
2.0,4.62,2.76,7.30
3.0,5.43,3.04,9.36
4.0,10.18,5.71,15.56
5.0,17.58,10.76,25.91
6.0,23.30,15.19,31.86
7.0,26.06,18.20,34.07
8.0,17.56,11.72,24.43
9.0,11.78,6.46,18.74
10.0,6.27,3.68,10.42
11.0,3.67,1.87,6.63
12.0,2.79,1.28,5.26
