Month,Mean,P25,P75
1.0,0.01,0.00,0.07
2.0,0.01,0.00,0.05
3.0,0.00,0.00,0.16
4.0,0.29,0.01,1.42
5.0,2.75,0.56,6.62
6.0,12.84,7.09,19.23
7.0,19.86,14.04,25.41
8.0,18.82,13.70,24.20
9.0,15.93,10.90,20.32
10.0,10.93,5.67,16.00
11.0,3.09,1.04,6.87
12.0,0.08,0.00,0.72
