Month,Mean,P25,P75
1.0,3.31,2.23,5.56
2.0,2.71,1.89,3.99
3.0,2.48,1.68,3.87
4.0,4.09,2.12,7.44
5.0,8.85,4.88,14.12
6.0,15.64,9.53,23.07
7.0,24.47,18.08,31.07
8.0,22.68,17.70,28.34
9.0,21.52,15.81,26.44
10.0,17.44,13.74,22.31
11.0,14.12,9.85,19.30
12.0,7.46,4.27,12.92
