Month,Mean,P25,P75
1.0,0.03,0.01,0.18
2.0,0.05,0.02,0.25
3.0,0.21,0.04,1.24
4.0,2.09,0.48,4.55
5.0,8.11,4.39,12.83
6.0,14.50,8.79,21.63
7.0,14.26,8.68,21.48
8.0,5.79,2.88,10.16
9.0,1.60,0.54,3.57
10.0,0.40,0.09,1.23
11.0,0.08,0.01,0.40
12.0,0.03,0.01,0.19
