Month,Mean,P25,P75
1.0,0.40,0.11,1.26
2.0,1.10,0.29,3.24
3.0,0.55,0.20,1.96
4.0,0.81,0.18,3.73
5.0,4.21,0.59,13.83
6.0,10.33,2.56,27.26
7.0,10.42,2.18,26.34
8.0,5.88,1.60,20.05
9.0,3.88,1.52,12.04
10.0,1.03,0.33,4.05
11.0,0.20,0.11,1.03
12.0,0.13,0.08,0.25
