Month,SCA
1.0,-0.12
2.0,-0.07
3.0,-0.01
4.0,0.16
5.0,0.44
6.0,0.00
7.0,0.30
8.0,0.18
9.0,0.33
10.0,-0.01
11.0,-0.12
12.0,-0.11
