Month,Mean,P25,P75
1.0,0.33,0.15,0.72
2.0,0.56,0.25,1.15
3.0,1.13,0.54,2.25
4.0,3.16,1.48,5.67
5.0,9.24,5.52,14.21
6.0,14.82,9.30,21.51
7.0,15.45,9.53,22.94
8.0,6.75,3.85,11.15
9.0,2.51,1.23,4.58
10.0,0.83,0.34,1.73
11.0,0.34,0.12,0.82
12.0,0.26,0.10,0.60
