Month,SCA
1.0,-0.00
2.0,0.00
3.0,0.01
4.0,0.24
5.0,0.00
6.0,-0.05
7.0,-0.03
8.0,0.14
9.0,0.07
10.0,-0.01
11.0,-0.00
12.0,0.00
