Month,SCA
1.0,-0.01
2.0,-0.01
3.0,-0.01
4.0,-0.00
5.0,0.35
6.0,0.45
7.0,0.81
8.0,0.08
9.0,0.03
10.0,0.02
11.0,0.00
12.0,-0.01
