Month,Mean,P25,P75
1.0,0.32,0.14,0.66
2.0,0.25,0.11,0.47
3.0,0.21,0.09,0.55
4.0,1.19,0.32,2.97
5.0,5.40,2.48,9.72
6.0,13.08,6.80,21.40
7.0,20.42,11.35,31.06
8.0,10.50,4.91,18.97
9.0,4.88,1.80,9.55
10.0,1.95,0.75,3.66
11.0,0.61,0.17,1.47
12.0,0.29,0.07,0.78
