system:index,CCA,Elevation,SCA,.geo
0_0,2.11,3600.0,0.06,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,2.05,3700.0,0.24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,2.38,3800.0,0.11,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_3,2.89,3900.0,0.12,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_4,3.21,4000.0,0.16,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_5,3.77,4100.0,0.25,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_6,4.30,4200.0,1.53,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_7,5.05,4300.0,0.37,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_8,5.71,4400.0,0.51,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_9,6.38,4500.0,0.91,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_10,6.56,4600.0,1.12,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_11,6.94,4700.0,1.39,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_12,7.62,4800.0,2.05,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_13,8.28,4900.0,3.06,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_14,8.90,5000.0,4.76,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_15,9.56,5100.0,7.88,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_16,10.36,5200.0,13.14,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_17,11.18,5300.0,21.92,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_18,11.65,5400.0,29.07,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_19,11.98,5500.0,38.68,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_20,12.59,5600.0,49.74,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_21,12.75,5700.0,58.67,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_22,13.37,5800.0,69.14,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_23,14.21,5900.0,74.45,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_24,15.14,6000.0,84.63,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_25,17.71,6100.0,87.51,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_26,16.69,6200.0,89.38,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_27,14.10,6300.0,90.36,"{""type"":""MultiPoint"",""coordinates"":[]}"
