system:index,CCA,Elevation,SCA,.geo
0_0,2.85,3700.0,4.18,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,3.01,3800.0,3.67,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,2.20,3900.0,8.68,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_3,2.12,4000.0,6.99,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_4,1.76,4100.0,5.20,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_5,1.58,4200.0,4.29,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_6,1.61,4300.0,4.49,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_7,1.87,4400.0,5.67,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_8,2.00,4500.0,6.58,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_9,2.12,4600.0,5.85,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_10,2.28,4700.0,6.53,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_11,2.42,4800.0,7.81,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_12,2.66,4900.0,10.46,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_13,2.78,5000.0,12.77,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_14,2.91,5100.0,16.40,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_15,3.21,5200.0,22.63,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_16,3.39,5300.0,26.26,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_17,3.49,5400.0,27.94,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_18,3.66,5500.0,28.68,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_19,3.60,5600.0,28.66,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_20,3.68,5700.0,24.95,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_21,3.87,5800.0,24.21,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_22,5.14,5900.0,35.10,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_23,6.41,6000.0,46.03,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_24,7.24,6100.0,53.52,"{""type"":""MultiPoint"",""coordinates"":[]}"
