system:index,CCA,Elevation,SCA,.geo
0_0,0.78,3400.0,0.77,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,1.06,3500.0,5.35,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,1.11,3600.0,2.22,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_3,1.24,3700.0,2.72,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_4,1.31,3800.0,3.13,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_5,1.42,3900.0,3.65,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_6,1.48,4000.0,3.80,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_7,1.19,4100.0,2.08,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_8,1.11,4200.0,1.70,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_9,1.13,4300.0,3.20,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_10,1.34,4400.0,2.06,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_11,1.53,4500.0,2.52,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_12,1.77,4600.0,3.21,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_13,2.17,4700.0,4.42,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_14,2.30,4800.0,6.16,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_15,2.61,4900.0,6.66,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_16,2.67,5000.0,6.72,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_17,2.83,5100.0,7.28,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_18,2.97,5200.0,7.94,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_19,3.19,5300.0,9.44,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_20,3.50,5400.0,12.67,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_21,3.94,5500.0,17.18,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_22,4.76,5600.0,24.95,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_23,5.42,5700.0,29.38,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_24,5.75,5800.0,33.58,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_25,6.78,5900.0,46.40,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_26,7.04,6000.0,47.33,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_27,7.13,6100.0,46.71,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_28,7.12,6200.0,43.96,"{""type"":""MultiPoint"",""coordinates"":[]}"
