system:index,CCA,Date,Elevation,SCA,.geo
Andes_MCDS4S5_Yearly_Monthly_2000_03_1_Andes_MCDS4S5_Yearly_Monthly_2000_03_1,0.29,2000-03-01,3500.0,1.08,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_03_2_Andes_MCDS4S5_Yearly_Monthly_2000_03_2,0.88,2000-03-01,3600.0,0.00,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_03_3_Andes_MCDS4S5_Yearly_Monthly_2000_03_3,0.91,2000-03-01,3700.0,0.00,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_03_4_Andes_MCDS4S5_Yearly_Monthly_2000_03_4,0.67,2000-03-01,3800.0,0.00,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_03_5_Andes_MCDS4S5_Yearly_Monthly_2000_03_5,0.75,2000-03-01,3900.0,0.00,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_03_6_Andes_MCDS4S5_Yearly_Monthly_2000_03_6,0.86,2000-03-01,4000.0,0.00,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_03_7_Andes_MCDS4S5_Yearly_Monthly_2000_03_7,1.05,2000-03-01,4100.0,0.00,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_03_8_Andes_MCDS4S5_Yearly_Monthly_2000_03_8,0.93,2000-03-01,4200.0,0.03,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_03_9_Andes_MCDS4S5_Yearly_Monthly_2000_03_9,1.73,2000-03-01,4300.0,0.79,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_03_10_Andes_MCDS4S5_Yearly_Monthly_2000_03_10,1.51,2000-03-01,4400.0,0.00,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_03_11_Andes_MCDS4S5_Yearly_Monthly_2000_03_11,1.34,2000-03-01,4500.0,0.00,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_03_12_Andes_MCDS4S5_Yearly_Monthly_2000_03_12,2.45,2000-03-01,4600.0,0.02,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_03_13_Andes_MCDS4S5_Yearly_Monthly_2000_03_13,2.26,2000-03-01,4700.0,0.10,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_03_14_Andes_MCDS4S5_Yearly_Monthly_2000_03_14,2.87,2000-03-01,4800.0,0.21,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_03_15_Andes_MCDS4S5_Yearly_Monthly_2000_03_15,3.34,2000-03-01,4900.0,0.33,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_03_16_Andes_MCDS4S5_Yearly_Monthly_2000_03_16,2.60,2000-03-01,5000.0,0.46,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_03_17_Andes_MCDS4S5_Yearly_Monthly_2000_03_17,2.83,2000-03-01,5100.0,1.01,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_03_18_Andes_MCDS4S5_Yearly_Monthly_2000_03_18,2.31,2000-03-01,5200.0,1.06,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_03_19_Andes_MCDS4S5_Yearly_Monthly_2000_03_19,2.22,2000-03-01,5300.0,1.67,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_03_20_Andes_MCDS4S5_Yearly_Monthly_2000_03_20,2.83,2000-03-01,5400.0,3.79,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_03_21_Andes_MCDS4S5_Yearly_Monthly_2000_03_21,2.68,2000-03-01,5500.0,11.61,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_03_22_Andes_MCDS4S5_Yearly_Monthly_2000_03_22,3.00,2000-03-01,5600.0,33.31,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_03_23_Andes_MCDS4S5_Yearly_Monthly_2000_03_23,2.46,2000-03-01,5700.0,53.25,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_03_24_Andes_MCDS4S5_Yearly_Monthly_2000_03_24,0.82,2000-03-01,5800.0,63.95,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_03_25_Andes_MCDS4S5_Yearly_Monthly_2000_03_25,0.59,2000-03-01,5900.0,92.19,"{""type"":""MultiPoint"",""coordinates"":[]}"
