system:index,CCA,Date,Elevation,SCA,.geo
Andes_MCDS4S5_Yearly_Monthly_2000_02_0_Andes_MCDS4S5_Yearly_Monthly_2000_02_0,0.00,2000-02-01,3700.0,0.00,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_02_1_Andes_MCDS4S5_Yearly_Monthly_2000_02_1,0.00,2000-02-01,3800.0,0.00,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_02_2_Andes_MCDS4S5_Yearly_Monthly_2000_02_2,0.05,2000-02-01,3900.0,1.81,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_02_3_Andes_MCDS4S5_Yearly_Monthly_2000_02_3,0.05,2000-02-01,4000.0,0.49,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_02_4_Andes_MCDS4S5_Yearly_Monthly_2000_02_4,0.59,2000-02-01,4100.0,0.12,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_02_5_Andes_MCDS4S5_Yearly_Monthly_2000_02_5,0.15,2000-02-01,4200.0,0.21,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_02_6_Andes_MCDS4S5_Yearly_Monthly_2000_02_6,0.47,2000-02-01,4300.0,0.09,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_02_7_Andes_MCDS4S5_Yearly_Monthly_2000_02_7,0.13,2000-02-01,4400.0,0.00,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_02_8_Andes_MCDS4S5_Yearly_Monthly_2000_02_8,0.16,2000-02-01,4500.0,0.52,"{""type"":""MultiPoint"",""coordinates"":[]}"
Andes_MCDS4S5_Yearly_Monthly_2000_02_9_Andes_MCDS4S5_Yearly_Monthly_2000_02_9,0.11,2000-02-01,4600.0,0.00,"{""type"":""MultiPoint"",""coordinates"":[]}"
