system:index,CCA,Elevation,Month,SCA,.geo
0_0_0_0,0.71,3700.0,1.0,0.03,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0_1,0.67,3800.0,1.0,0.06,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0_2,0.43,3900.0,1.0,1.67,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0_3,0.39,4000.0,1.0,0.98,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0_4,0.73,4100.0,1.0,0.42,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0_5,1.06,4200.0,1.0,0.43,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_0_6,1.12,4300.0,1.0,0.28,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_0_7,1.31,4400.0,1.0,0.30,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_0_8,1.38,4500.0,1.0,0.88,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_0_9,1.61,4600.0,1.0,0.51,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_0_10,1.78,4700.0,1.0,0.82,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_0_11,1.92,4800.0,1.0,1.22,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_0_12,2.19,4900.0,1.0,1.90,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_0_13,2.32,5000.0,1.0,2.58,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_0_14,2.56,5100.0,1.0,3.63,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_0_15,2.90,5200.0,1.0,5.27,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_0_16,3.17,5300.0,1.0,7.05,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_0_17,3.27,5400.0,1.0,8.80,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_0_18,3.55,5500.0,1.0,11.59,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_0_19,3.59,5600.0,1.0,13.70,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20_0_20,3.45,5700.0,1.0,14.81,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_0_21,3.43,5800.0,1.0,17.84,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22_0_22,3.32,5900.0,1.0,23.35,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_23_0_23,4.08,6000.0,1.0,30.61,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24_0_24,5.01,6100.0,1.0,35.22,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_1_0,1.81,3700.0,2.0,0.05,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1,2.41,3800.0,2.0,0.05,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_1_2,1.44,3900.0,2.0,3.00,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3_1_3,1.38,4000.0,2.0,1.12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4_1_4,1.48,4100.0,2.0,0.72,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5_1_5,2.08,4200.0,2.0,0.80,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6_1_6,1.96,4300.0,2.0,0.43,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7_1_7,2.15,4400.0,2.0,0.55,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8_1_8,2.37,4500.0,2.0,1.49,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9_1_9,2.73,4600.0,2.0,1.27,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10_1_10,2.89,4700.0,2.0,2.20,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11_1_11,3.10,4800.0,2.0,3.38,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12_1_12,3.38,4900.0,2.0,5.16,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13_1_13,3.56,5000.0,2.0,6.96,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14_1_14,3.47,5100.0,2.0,9.77,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15_1_15,3.33,5200.0,2.0,13.65,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16_1_16,3.26,5300.0,2.0,17.06,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17_1_17,3.38,5400.0,2.0,20.19,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18_1_18,3.69,5500.0,2.0,24.43,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19_1_19,3.59,5600.0,2.0,27.09,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20_1_20,3.58,5700.0,2.0,29.29,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_21_1_21,3.88,5800.0,2.0,34.96,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22_1_22,4.97,5900.0,2.0,47.44,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23_1_23,5.68,6000.0,2.0,61.70,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24_1_24,5.23,6100.0,2.0,69.16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_2_0,0.38,3700.0,3.0,0.06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1_2_1,0.41,3800.0,3.0,0.06,"{""type"":""MultiPoint"",""coordinates"":[]}"
